form	lemma	POS	morph
༄༅། །		PUNCT
རྒྱ་གར་	རྒྱ་གར་	PROPN
སྐད་	སྐད་	NOUN
དུ་	ལ་	PART
།		PUNCT
པྲ་	པྲ་	NOUN
ཏི་	ཏི་	NO_POS
ཏྱ་		NON_WORD
ས་	ས་	ADP
མུ་	མུ་	NOUN
ཏཔ་		NON_WORD
ད་	ད་	ADV
ཧྲི་		NON_WORD
ད་	ད་	ADV
ཡ་	ཡ་	NOUN
ཀཱ་	ཀཱ་	NO_POS
རི་	རི་	NOUN
ཀཱ་	ཀཱ་	NO_POS
། །		PUNCT
བོད་སྐད་	བོད་སྐད་	PROPN
དུ་	ལ་	PART
།		PUNCT
རྟེན་	རྟེན་	NOUN
ཅིང་	ཅིང་	PART
འབྲེལ་པ་	འབྲེལ་པ་	VERB
ར་	ལ་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
ཚིག་ལེའུ་	ཚིག་ལེའུ་	OTHER
ར་	ལ་	PART
བྱས་པ་	བྱས་པ་	VERB
།		PUNCT
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
ཡན་ལག་	ཡན་ལག་	NOUN
བྱེ་བྲག་	བྱེ་བྲག་	NOUN
བཅུ་གཉིས་	བཅུ་གཉིས་	NO_POS
གང་	གང་	NO_POS
། །		PUNCT
ཐུབ་པ་	ཐུབ་པ་	VERB
ས་	གིས་	PART
རྟེན་འབྱུང་	རྟེན་འབྱུང་	OTHER
གསུངས་	གསུངས་	VERB
དེ་དག་	དེ་དག་	OTHER
།		PUNCT
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
དང་	དང་	NO_POS
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
གསུམ་པོ་	གསུམ་པོ་	NUM
དག་	དག་	DET
ཏུ་	ལ་	PART
ཟད་པ་		
འདུ་	འདུ་	VERB
"།
།"		PUNCT
དང་པོ་	དང་པོ་	ADJ
བརྒྱད་	བརྒྱད་	NUM
དང་	དང་	NO_POS
དགུ་	དགུ་	NUM
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
། །		PUNCT
གཉིས་	གཉིས་	NUM
དང་	དང་	NO_POS
བཅུ་པ་	བཅུ་པ་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
། །		PUNCT
ལྷག་མ་	ལྷག་མ་	NOUN
བདུན་	བདུན་	NUM
ཡང་	ཀྱང་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
བཅུ་གཉིས་	བཅུ་གཉིས་	NO_POS
ཆོ་	ཆོ་	NOUN
ནི་	ནི་	NO_POS
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
འདུ་	འདུ་	VERB
"།
།"		PUNCT
གསུམ་པོ་	གསུམ་པོ་	NUM
དག་	དག་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
གཉིས་	གཉིས་	NUM
འབྱུང་	འབྱུང་	VERB
སྟེ་	སྟེ་	PART
། །		PUNCT
གཉིས་	གཉིས་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
བདུན་	བདུན་	NUM
འབྱུང་	འབྱུང་	VERB
བདུན་	བདུན་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
། །		PUNCT
གསུམ་	གསུམ་	NUM
འབྱུང་	འབྱུང་	VERB
སྲིད་པ་	སྲིད་པ་	VERB
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
དེ་	སྟེ་	PART
"།
།"		PUNCT
ཉིད་	ཉིད་	DET
ནི་	ནི་	NO_POS
ཡང་	ཀྱང་	PART
དང་	དང་	NO_POS
ཡང་	ཀྱང་	PART
དུ་	ལ་	PART
འཁོར་	འཁོར་	NOUN
། །		PUNCT
འགྲོ་	འགྲོ་	VERB
ཀུན་	ཀུན་	DET
རྒྱུ་	རྒྱུ་	NOUN
དང་	དང་	NO_POS
འབྲས་བུ་	འབྲས་བུ་	NOUN
སྟེ་	སྟེ་	PART
། །		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཅི་ཡང་	ཅི་ཡང་	OTHER
མེད་	མེད་	VERB
། །		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
ཁོ་ན་	ཁོ་ན་	DET
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
རྣམས་	རྣམས་	DET
འབྱུང་བ་	འབྱུང་བ་	VERB
ཟད་	ཟད་	VERB
"།
།"		PUNCT
བདག་	བདག་	PRON
དང་	དང་	NO_POS
བདག་	བདག་	PRON
གི་	གི་	PART
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
། །		PUNCT
ཁ་	ཁ་	PRON
ཐོན་	ཐོན་	VERB
མར་མེ་	མར་མེ་	NOUN
མེ་ལོང་	མེ་ལོང་	NOUN
རྒྱ་	རྒྱ་	NOUN
། །		PUNCT
མེ་ཤེལ་	མེ་ཤེལ་	NOUN
ས་བོན་	ས་བོན་	NOUN
སྐྱུ་	སྐྱུ་	VERB
དང་	དང་	NO_POS
